id,bulletin,description,grupo_muestreo,is_relevant_gt,categories_gt,subcategories_gt,notas_anotador
0,docm,"Notificación de 24/01/2025, de la Delegación Provincial de Educación, Cultura y Deportes de Albacete, de acuerdos de inicio de reintegro de ayuda al estudio.",SUB_REV,True,SUB_REV,sector_educacion,Inicio reintegro ayuda al estudio
1,bocm,"Concesión subvenciones
– Orden de 27 de diciembre de 2024, de la Consejería de Vivienda, Transportes e Infraestructuras, por la que se declara la pérdida del derecho al cobro a los beneficiarios de las subvenciones al alquiler de vivienda en la Comunidad de Madrid convocadas para el año 2022 mediante Orden 3608/2022, de 19 de octubre de 2022",SUB_REV,True,SUB_REV,sector_vivienda,Perdida derecho al cobro subvenciones alquiler
2,boja,"Acuerdo de 25 de febrero de 2025, de la Delegación Territorial de Fomento, Articulación del Territorio y Vivienda en Málaga, por el que se inicia procedimiento de declaración de pérdida del derecho al cobro de determinadas ayudas concedidas al amparo de la Orden 27 de julio de 2020, destinadas a atender el pago del alquiler de la vivienda habitual, correspondiente a la Línea 1 de la convocatoria aprobada por Orden de 1 de septiembre de 2020 (BOJA núm. 174, de 8 de septiembre).",SUB_REV,True,SUB_REV,sector_vivienda,Inicio perdida derecho al cobro ayudas alquiler
3,boja,"Anuncio de 14 de enero de 2025, de la Dirección General de Andalucía Global, de notificación de reintegro de subvención.",SUB_REV,True,SUB_REV,,Notificacion reintegro subvencion sin sector
4,dog,"ACUERDO de 13 de enero de 2025, del Departamento Territorial de Ourense, por el que se da publicidad al inicio de tres expedientes de reintegro de ayudas al estudio.",SUB_REV,True,SUB_REV,sector_educacion,Inicio expedientes reintegro ayudas estudio
5,docm,"Notificación de 06/02/2025, de la Delegación Provincial de Educación, Cultura y Deportes de Toledo, de acuerdos de inicio de expedientes de reintegro de ayuda al estudio.",SUB_REV,True,SUB_REV,sector_educacion,Inicio reintegro ayuda al estudio
6,bocm,"Concesión subvenciones
– Orden de 27 de diciembre de 2024, de la Consejería de Vivienda, Transportes e Infraestructuras, por la que se declara la pérdida del derecho al cobro de determinadas cuantías a los beneficiarios de las subvenciones al alquiler de vivienda en la Comunidad de Madrid convocadas para el año 2022 mediante Orden 3608/2022, de 19 de octubre de 2022",SUB_REV,True,SUB_REV,sector_vivienda,Perdida derecho al cobro subvenciones alquiler
7,docm,"Notificación de 14/02/2025, de la Delegación Provincial de Educación, Cultura y Deportes de Cuenca, de acuerdo de inicio de expedientes de reintegro de ayudas al estudio.",SUB_REV,True,SUB_REV,sector_educacion,Inicio reintegro ayudas estudio
8,bon,Reintegro de subvenciones,SUB_REV,True,SUB_REV,,Reintegro de subvenciones generico BON
9,boja,"Anuncio de 22 de enero de 2025, de la Delegación Territorial de Fomento, Articulación del Territorio y Vivienda en Málaga, por el que se hace pública la relación de solicitantes de ayudas al alquiler cuyas bases son reguladas por la Orden de 1 de septiembre de 2020 (BOJA núm. 174, de 8 de septiembre de 2020), a los que no ha sido posible notificar diferentes actos relativos a procedimientos de reintegro de subvenciones.",SUB_REV,True,SUB_REV,sector_vivienda,Notificacion actos de reintegro ayudas alquiler
10,dog,"RESOLUCIÓN de 9 de diciembre de 2024 por la que se da publicidad del acuerdo del Consejo de Dirección que aprueba las bases reguladoras de las ayudas a las agrupaciones empresariales (clústeres) innovadoras en la Comunidad Autónoma de Galicia para el año 2025, y se procede a su convocatoria en régimen de concurrencia competitiva (código de procedimiento IG410A).",MULTILABEL_BC,True,"SUB_BASE, SUB_CONV","sector_industria, sector_investigacion",Acto completo: aprueba bases y convoca. Clusteres innovadores
11,dog,"ORDEN de 30 de diciembre de 2024 por la que se establecen las bases reguladoras para la concesión de subvenciones para la prevención de los daños causados a los bosques por incendios, desastres naturales y catástrofes en montes vecinales en mano común y agrupaciones forestales de gestión conjunta, cofinanciadas con el Fondo Europeo Agrícola de Desarrollo Rural (Feader) en el marco del Plan estratégico de la política agraria común (PEPAC) 2023-2027 y se convocan para el año 2025 (código de procedimiento MR651A).",MULTILABEL_BC,True,"SUB_BASE, SUB_CONV",sector_agricultura,Acto completo: bases y convocatoria. Prevencion incendios forestales
12,boja,"Extracto de 4 de febrero de 2025, de la Universidad de Huelva, por la que se aprueban las bases reguladoras y la convocatoria de Premios la Frente Pensativa y Zenobia Camprubí a Trabajos de Fin de Grado y Fin de Máster de la Cátedra Juan Ramón Jiménez, convocatoria 2024.",MULTILABEL_BC,True,SUB_CONV,sector_educacion,Extracto BDNS aunque apruebe bases. Premios TFG/TFM
13,dog,"EXTRACTO de la Orden de 3 de enero de 2025 por la que se establecen las bases reguladoras de los programas de subvenciones para sufragar los gastos de funcionamiento de las entidades asociativas gallegas de personas trabajadoras autónomas y la contratación de personal de apoyo, y se convocan para el año 2025 (código de procedimiento TR358A).",MULTILABEL_BC,True,SUB_CONV,"sector_industria, sector_empleo",Extracto BDNS. Entidades de autonomos y contratacion personal apoyo
14,dog,"EXTRACTO de la Resolución de 13 de enero de 2025 por la que se da publicidad del acuerdo del Consejo de Dirección que aprueba las bases reguladoras de las ayudas a proyectos que impulsen y refuercen la transición a la cadena de valor del vehículo eléctrico y a la descarbonización del sector de automoción en Galicia, cofinanciadas por la Unión Europea en el marco del programa Galicia Feder 2021-2027 para el año 2025, y se procede a su convocatoria en régimen de concurrencia no competitiva (código de procedimiento IN422P (línea 3).",MULTILABEL_BC,True,SUB_CONV,sector_industria,Extracto BDNS. Vehiculo electrico automocion
15,boja,"Extracto de la Orden de 10 de enero de 2025, por la que se convocan para el año 2025 las ayudas previstas en la Orden de 13 de marzo de 2024, por la que se aprueban las bases reguladoras para la concesión de ayudas a la ejecución de programas nacionales veterinarios por las Asociaciones de Defensa Sanitaria Ganadera, en régimen de concurrencia no competitiva.",MULTILABEL_BC,True,SUB_CONV,sector_agricultura,Extracto. Convoca ayudas con bases previas. Veterinaria ADS
16,boja,"Extracto de 9 de enero de 2025, de la Universidad de Huelva, por la que se aprueban las bases reguladoras y la convocatoria del IV Concurso de Fotografía Miradas Erasmus de la Universidad de Huelva.",MULTILABEL_BC,True,SUB_CONV,sector_cultura,Extracto BDNS. Concurso fotografia con premio
17,dog,"EXTRACTO de la Orden de 27 de diciembre de 2024 por la que se establecen las bases reguladoras para la concesión de subvenciones públicas, destinadas a la financiación del Programa Investigo, de contratación de personas jóvenes demandantes de empleo en la realización de iniciativas de investigación e innovación, y se procede a su convocatoria para el ejercicio 2025 (código de procedimiento TR349V).",MULTILABEL_BC,True,SUB_CONV,"sector_empleo, sector_investigacion",Extracto BDNS. Programa Investigo
18,bon,"RESOLUCIÓN 94E/2025, de 12 de febrero, de la directora general de Transportes y Movilidad Sostenible, por la que se aprueban, la convocatoria para el año 2025 y las bases reguladoras de la subvención destinada a la financiación del curso para la obtención del certificado de aptitud profesional acreditativo de la cualificación inicial de los conductores, residentes en Navarra, de determinados vehículos destinados al transporte por carretera. Identificación BDNS: 814522.",MULTILABEL_BC,True,"SUB_BASE, SUB_CONV",sector_empleo,Acto completo: aprueba convocatoria y bases. Formacion CAP conductores
19,dogv,"EXTRACTO de la Resolución de 28 de febrero de 2025, del Vicerrectorado de Innovación y Transferencia, por la que se convocan y aprueban las bases reguladoras de los premios ToxiCOIL dirigidos a estudiantes de grado, máster y doctorado de la Universitat de València, de la Université de Bourgogne Europe-Institut Agro-Dijon (Francia) y la Università degli Studi di Palermo (Italia), del curso 2024-2025, con el mecenazgo de Santander Universidades y en el marco del programa internacional UVEMPREN.",MULTILABEL_BC,True,SUB_CONV,sector_educacion,Extracto BDNS. Premios estudiantes universitarios
20,dog,"EXTRACTO de la Resolución de 27 de decembro de 2024 por la que se establecen las bases reguladoras, en régimen de concurrencia competitiva, para la concesión de subvenciones a la creación audiovisual para la promoción del talento audiovisual gallego y se convocan para el año 2025 (código de procedimiento CT207E).",MULTILABEL_BC,True,SUB_CONV,sector_cultura,Extracto BDNS. Creacion audiovisual
21,docm,"Resolución de 20/01/2025, del Instituto de Promoción Exterior de Castilla-La Mancha, por la que se aprueba la convocatoria de concesión de subvenciones para la participación en la Feria Micam I Shoe Event Milán 2025, al amparo de la Orden 152/2022, de 29 de julio, de la Consejería de Economía, Empresas y Empleo, por la que se establecen las bases reguladoras de las ayudas para la participación agrupada en acciones de internacionalización convocadas por el Instituto de Promoción Exterior de Castilla-La Mancha. Extracto BDNS (Identif.): 810396.",MULTILABEL_BC,True,SUB_CONV,sector_industria,Convocatoria de concesion: el acto convoca. Bases en orden previa. Feria internacionalizacion
22,dog,"EXTRACTO de la Orden de 20 de diciembre de 2024 por la que se establecen las bases reguladoras de las ayudas, en régimen de concurrencia competitiva, para actuaciones encaminadas a la protección de los animales domésticos de compañía abandonados en Galicia y se convocan ayudas para el año 2025, destinadas a las asociaciones inscritas en el Registro Gallego de Asociaciones para la Protección y Defensa de los Animales de Compañía (código de procedimiento MT811B).",MULTILABEL_BC,True,SUB_CONV,,Extracto BDNS. Proteccion animales sin sector en taxonomia
23,dog,"ORDEN de 24 de febrero de 2025 por la que se establecen las bases reguladoras para la concesión de las ayudas para el sector editorial gallego, relativas a gastos de edición, distribución y comercialización de las publicaciones editoriales en el año 2025, y se procede a su convocatoria para el año 2025 (código de procedimiento CT238A).",MULTILABEL_BC,True,"SUB_BASE, SUB_CONV",sector_cultura,Acto completo: bases y convocatoria. Sector editorial
24,dog,ANUNCIO de la convocatoria y bases reguladoras de la oferta de empleo público extraordinaria para estabilizar el empleo temporal del año 2024.,MULTILABEL_BC,False,,,Oferta de empleo publico estabilizacion: RRHH B5 no subvencion
25,dogc,"Anuncio sobre publicación de las bases reguladoras y las convocatorias para la selección de plazas de personal funcionario de carrera, incluidas en la oferta pública de empleo para el año 2023 (exp. 427/2025, 444/2025 y 609/2025)",NEGATIVO_RRHH,False,,,Seleccion plazas funcionario: RRHH
26,dogc,"Edicto relativo a las bases reguladoras del proceso de selección mediante concurso-oposición para cubrir con carácter interino el puesto de trabajo de secretaría de clase tercera, subescala de secretaría-intervención, y constitución de una bolsa de trabajo del Ayuntamiento de Sudanell",NEGATIVO_RRHH,False,,,Bases proceso seleccion secretaria interina: RRHH
27,dogc,"Edicto por el que se hace pública la aprobación de la convocatoria y bases reguladoras del proceso de selección para incorporar a un/a técnico/a auxiliar para llevar a cabo el Proyecto de implementación de las acciones para certificar Viladecans como ciudad residuo cero, y la creación de la correspondiente bolsa de trabajo del Ayuntamiento de Viladecans",NEGATIVO_RRHH,False,,,Bases seleccion tecnico y bolsa trabajo: RRHH
28,dogc,"Anuncio sobre aprobación de la convocatoria y de las bases reguladoras para la cobertura definitiva de una plaza de técnico/a de ciudadanía, y constitución de una bolsa de trabajo",NEGATIVO_RRHH,False,,,Bases cobertura plaza tecnico y bolsa: RRHH
29,dogc,"Anuncio por el que se hace pública la aprobación de las bases reguladoras del proceso de selección, mediante el sistema de concurso-oposición, para cubrir una plaza de psicólogo juvenil, y la constitución de una bolsa de trabajo",NEGATIVO_RRHH,False,,,Bases concurso-oposicion psicologo y bolsa: RRHH
30,dogc,"Edicto sobre aprobación de las bases reguladoras y la convocatoria que regirán el proceso selectivo para la creación de una bolsa de trabajo de funcionario interino para la ejecución de un programa de carácter temporal de técnico/a medio/a por el Plan educativo de entorno, grupo A, subgrupo A2 (X2024002739)",NEGATIVO_RRHH,False,,,Bases proceso selectivo bolsa trabajo: RRHH
31,dogc,Edicto sobre aprobación de las bases reguladoras del procedimiento de selección para la creación de una bolsa de trabajo de técnicos/as de empleo en el Ayuntamiento de Banyoles,NEGATIVO_RRHH,False,,,Bases bolsa tecnicos de empleo: RRHH
32,boja,"Anuncio de 10 de diciembre de 2024, del Ayuntamiento de Zalamea la Real, de las bases reguladoras y convocatoria del procedimiento de selección para la provisión, mediante funcionarios de carrera, de las dos plazas de personal administrativo incluidas en la Oferta de Empleo Público del ejercicio 2022. (PP. 10232/2024).",NEGATIVO_RRHH,False,,,Bases provision plazas OEP: RRHH
33,dogc,"Anuncio relativo a la convocatoria y las bases reguladoras del proceso selectivo para la cobertura definitiva de una plaza de técnico/a medio/a de gestión de administración general, de la escala de administración general, subescala técnica, grupo A, subgrupo A2, de la plantilla de personal funcionario del Ayuntamiento de Parets del Vallès, de acceso libre, y constitución de una bolsa de trabajo (exp. 2845/2024)",NEGATIVO_RRHH,False,,,Bases proceso selectivo plaza tecnico y bolsa: RRHH
34,dogc,"Anuncio sobre aprobación de las bases reguladoras para la convocatoria del proceso de selección para cubrir un puesto de técnico/a de gestión administrativa, adscrito a la Secretaría del Ayuntamiento de Sant Andreu de Llavaneres, subgrupo A2, en régimen de personal funcionario de carrera, mediante concurso-oposición en turno de promoción interna",NEGATIVO_RRHH,False,,,Bases seleccion tecnico promocion interna: RRHH
35,dogc,Anuncio sobre aprobación de las bases reguladoras y la convocatoria del proceso selectivo del puesto de trabajo de técnico/a auxiliar de Recursos Humanos,NEGATIVO_RRHH,False,,,Bases proceso selectivo tecnico auxiliar RRHH
36,dogc,"Anuncio relativo a la aprobación de las bases reguladoras del proceso de selección para cubrir dos plazas de agente de la Guardia Municipal, funcionarios de carrera, y la creación de una bolsa de trabajo de agentes funcionarios interinos, por turno libre, por el sistema de concurso-oposición",NEGATIVO_RRHH,False,,,Bases plazas Guardia Municipal y bolsa: RRHH
37,dogc,"Resolución ISP/498/2025, de 18 de febrero, por la que se abre la convocatoria para formar parte de la bolsa de trabajo de personal interino de las policías locales de Cataluña y se aprueban sus bases reguladoras",NEGATIVO_RRHH,False,,,Convocatoria bolsa policias locales y bases: RRHH
38,boc,"Bases reguladoras y convocatoria del procedimiento selectivo para la creación de una bolsa de trabajo temporal de Administrativos para atender las necesidades temporales y de interinidad, mediante sistema de concurso-oposición. Expediente 774/2024.",NEGATIVO_RRHH,False,,,Bases bolsa administrativos interinos: RRHH
39,bocyl,"ACUERDO de 28 de enero de 2025, de la Junta de Gobierno Local del Ayuntamiento de San Andrés del Rabanedo (León), por el que se aprueban las bases reguladoras del proceso selectivo para la provisión, mediante el sistema de concurso de méritos, de 1 plaza de Arquitecto/a Superior, dentro del proceso de estabilización de empleo temporal aprobado por la Ley 20/2021, de 28 de diciembre.",NEGATIVO_RRHH,False,,,Bases proceso selectivo arquitecto estabilizacion: RRHH
40,dogc,"Resolución TER/302/2025, de 27 de enero, por la que se abre la convocatoria para la concesión de ayudas en forma de bonificación de los intereses de operaciones de préstamo, para la financiación de promociones de viviendas con protección oficial destinadas a alquiler o cesión de uso en régimen general (ref. BDNS 812668)",SUB_CONV,True,SUB_CONV,sector_vivienda,Abre convocatoria ayudas bonificacion intereses VPO alquiler
41,bocm,"Extracto convocatoria subvenciones
– Extracto de la Orden 394/2025, de 23 de febrero, del Consejero de Educación, Ciencia y Universidades, por la que se convocan las ayudas a estudiantes con discapacidad que cursan estudios universitarios o de enseñanzas artísticas superiores para el curso 2024-2025",SUB_CONV,True,SUB_CONV,"sector_educacion, sector_social",Extracto. Ayudas estudiantes con discapacidad
42,boa,"ORDEN FOM/305/2025, de 17 de marzo, por la que se convocan subvenciones a entidades sin ánimo de lucro para la realización, durante el año 2025, de actuaciones culturales desestacionalizadas, en el marco de la Directriz Especial de Ordenación Territorial de Política Demográfica y contra la Despoblación, con cargo al Fondo de Cohesión Territorial.",SUB_CONV,True,SUB_CONV,sector_cultura,Convoca subvenciones actuaciones culturales
