id,bulletin,description,grupo_muestreo,is_relevant_gt,categories_gt,subcategories_gt,notas_anotador
0,boe,Anuncio de formalización de contratos de: Jefatura de la Sección Económico Administrativa 22 - Base Aérea de Torrejón (Agrupación de Base). Objeto: Concesión de servicios Cafetería ALA 12. Expediente: 2024/EA22/00001943E.,CONT_CON,,,,
1,bocyl,"RESOLUCIÓN de 7 de enero de 2025, de la Dirección General de Transportes y Logística, por la que se hace pública la transmisión de la titularidad del contrato de concesión de servicio público de transporte regular y de uso general de viajeros por carretera, entre Castronuño y Toro (VACL-152), prestados por la empresa «Antonio Expósito Lucas» a favor de la empresa «Castaño e Hijos, S.L.».",CONT_CON,,,,
2,bor,Exposición pública del estudio de viabilidad económico-financiera para la concesión de servicio de gestión de las piscinas municipales,CONT_CON,,,,
3,boe,Anuncio de licitación de: Jefatura de Asuntos Económicos de la Fuerza Terrestre. Objeto: Concesión de servicio del Bar-Cafetería para el Establecimiento Plaza España. Expediente: 2025/ETSAE0206/00000005E.,CONT_CON,,,,
4,borm,Información pública para la aprobación inicial del anteproyecto de construcción y explotación del contrato de concesión del servicio publico de abastecimiento de agua potable y saneamiento del municipio de Alcantarilla.,CONT_CON,,,,
5,boe,Anuncio de formalización de contratos de: Dirección del Instituto de Astrofísica de Canarias. Objeto: Contrato de concesión del servicio de explotación de la cafetería-comedor de la Sede Central del Instituto de Astrofísica de Canarias. Expediente: LIC-24-018.,CONT_CON,,,,
6,boe,"Anuncio de licitación de: Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P. Objeto: Concesión del servicio de cafetería-comedor destinado al Centro Nacional de Biotecnología de la Agencia Estatal Consejo Superior de Investigaciones Científicas. Expediente: CAF1/25.",CONT_CON,,,,
7,borm,Información pública para la aprobación inicial de la estructura de costes del contrato de concesión del servicio público de abastecimiento de agua potable y saneamiento del municipio de Alcantarilla.,CONT_CON,,,,
8,docm,"Resolución de 25/02/2025, de la Secretaría General, por la que se dispone la publicación del convenio de colaboración entre la Consejería de Fomento de la comunidad autónoma de Castilla-La Mancha y el Ayuntamiento de Olías del Rey para la implantación del transporte público regular de viajeros en autobús según contrato de concesión del servicio público de transporte regular de viajeros de uso general por carretera en determinadas zonas rurales de la provincia de Toledo: VCM-631 Olías del Rey-Toledo.",CONT_CON,,,,
9,bopa,Edicto. Trámite de audiencia a la iniciativa privada para presentar estudios de viabilidad a la concesión de obra de un nuevo aparcamiento bajo la Plaza de la Escandalera de Oviedo. Expte. 1100-0001-2024/14. [Cód. 2025-01895],CONT_CON,,,,
