id,bulletin,description,grupo_muestreo,is_relevant_gt,categories_gt,subcategories_gt,notas_anotador,is_relevant_pred,act_type_pred,categories_pred,subcategories_pred,confidence,reasoning,duration_s,error
0,boe,Anuncio de formalización de contratos de: Jefatura de la Sección Económico Administrativa 22 - Base Aérea de Torrejón (Agrupación de Base). Objeto: Concesión de servicios Cafetería ALA 12. Expediente: 2024/EA22/00001943E.,CONT_CON,True,"CONT_FOR, CONT_CON",tipo_servicios,Formalizacion de concesion de servicios cafeteria,True,anuncio,"[""CONT_FOR"", ""CONT_CON""]","[""tipo_servicios""]",0.95,"Se menciona explícitamente ""Anuncio de formalización de contratos"" (dispara CONT_FOR) y el objeto es una ""Concesión de servicios Cafetería ALA 12"", lo que dispara CONT_CON.",96.569,
1,bocyl,"RESOLUCIÓN de 7 de enero de 2025, de la Dirección General de Transportes y Logística, por la que se hace pública la transmisión de la titularidad del contrato de concesión de servicio público de transporte regular y de uso general de viajeros por carretera, entre Castronuño y Toro (VACL-152), prestados por la empresa «Antonio Expósito Lucas» a favor de la empresa «Castaño e Hijos, S.L.».",CONT_CON,True,CONT_CON,tipo_servicios,Transmision de titularidad de contrato de concesion de transporte,True,resolución,"[""CONT_CON""]","[""tipo_servicios""]",0.98,"El acto trata sobre la ""transmisión de la titularidad del contrato de concesión de servicio público"", lo que activa CONT_CON.",37.401,
2,bor,Exposición pública del estudio de viabilidad económico-financiera para la concesión de servicio de gestión de las piscinas municipales,CONT_CON,True,CONT_CON,tipo_servicios,Estudio de viabilidad previo a concesion de servicio piscinas,True,información_pública,"[""CONT_CON""]","[""tipo_servicios""]",0.95,"El texto se refiere a la ""Exposición pública del estudio de viabilidad económico-financiera para la concesión de servicio..."", lo que indica una fase preparatoria o informativa sobre una concesión (CONT_CON).",41.049,
3,boe,Anuncio de licitación de: Jefatura de Asuntos Económicos de la Fuerza Terrestre. Objeto: Concesión de servicio del Bar-Cafetería para el Establecimiento Plaza España. Expediente: 2025/ETSAE0206/00000005E.,CONT_CON,True,"CONT_LIC, CONT_CON",tipo_servicios,Licitacion de concesion de servicio bar-cafeteria,True,anuncio,"[""CONT_LIC"", ""CONT_CON""]","[""tipo_servicios""]",0.98,"Se identifica la fase de licitación (""Anuncio de licitación"") y el objeto como una ""Concesión de servicio"", lo que dispara CONT_CON según las reglas críticas.",40.934,
4,borm,Información pública para la aprobación inicial del anteproyecto de construcción y explotación del contrato de concesión del servicio publico de abastecimiento de agua potable y saneamiento del municipio de Alcantarilla.,CONT_CON,True,CONT_CON,"tipo_obras, tipo_servicios",Anteproyecto de construccion y explotacion de concesion de agua,True,información_pública,"[""CONT_CON""]","[""tipo_servicios""]",0.95,"El texto menciona la ""aprobación inicial del anteproyecto de construcción y explotación del contrato de concesión del servicio publico de abastecimiento de agua potable y saneamiento"". Esto indica una fase preparatoria de una concesión (CONT_CON).",46.615,
5,boe,Anuncio de formalización de contratos de: Dirección del Instituto de Astrofísica de Canarias. Objeto: Contrato de concesión del servicio de explotación de la cafetería-comedor de la Sede Central del Instituto de Astrofísica de Canarias. Expediente: LIC-24-018.,CONT_CON,True,"CONT_FOR, CONT_CON",tipo_servicios,Formalizacion de concesion de servicio cafeteria-comedor,True,anuncio,"[""CONT_FOR"", ""CONT_CON""]","[""tipo_servicios""]",0.95,"Se menciona explícitamente ""Anuncio de formalización de contratos"" (dispara CONT_FOR) y el objeto es un ""Contrato de concesión del servicio"", lo que dispara CONT_CON.",42.692,
6,boe,"Anuncio de licitación de: Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P. Objeto: Concesión del servicio de cafetería-comedor destinado al Centro Nacional de Biotecnología de la Agencia Estatal Consejo Superior de Investigaciones Científicas. Expediente: CAF1/25.",CONT_CON,True,"CONT_LIC, CONT_CON",tipo_servicios,Licitacion de concesion de servicio cafeteria,True,anuncio,"[""CONT_LIC"", ""CONT_CON""]","[""tipo_servicios""]",0.98,"Se identifica la fase de licitación (""Anuncio de licitación"") y el objeto es una ""Concesión del servicio"", lo que dispara CONT_CON según las reglas críticas.",40.594,
7,borm,Información pública para la aprobación inicial de la estructura de costes del contrato de concesión del servicio público de abastecimiento de agua potable y saneamiento del municipio de Alcantarilla.,CONT_CON,True,CONT_CON,tipo_servicios,Estructura de costes de concesion de servicio de agua,True,información_pública,"[""CONT_CON""]","[""tipo_servicios""]",0.95,"El objeto es el ""servicio público de abastecimiento de agua potable y saneamiento"", lo que implica una concesión de servicios públicos.",42.257,
8,docm,"Resolución de 25/02/2025, de la Secretaría General, por la que se dispone la publicación del convenio de colaboración entre la Consejería de Fomento de la comunidad autónoma de Castilla-La Mancha y el Ayuntamiento de Olías del Rey para la implantación del transporte público regular de viajeros en autobús según contrato de concesión del servicio público de transporte regular de viajeros de uso general por carretera en determinadas zonas rurales de la provincia de Toledo: VCM-631 Olías del Rey-Toledo.",CONT_CON,False,,,Convenio interadministrativo sobre servicio en concesion existente: no es acto contractual,True,resolución,"[""CONT_FOR"", ""CONT_CON""]","[""tipo_servicios""]",0.98,"El acto se refiere a la publicación de un convenio que formaliza un contrato de concesión de servicio público. La etiqueta CONT_FOR se debe a la ""publicación del convenio"" y CONT_CON porque el objeto es una ""concesión del servicio público"".",46.434,
9,bopa,Edicto. Trámite de audiencia a la iniciativa privada para presentar estudios de viabilidad a la concesión de obra de un nuevo aparcamiento bajo la Plaza de la Escandalera de Oviedo. Expte. 1100-0001-2024/14. [Cód. 2025-01895],CONT_CON,True,CONT_CON,tipo_obras,Tramite de audiencia estudios viabilidad concesion de obra aparcamiento,True,edicto,"[""CONT_CON""]","[""tipo_obras""]",0.95,"El texto menciona explícitamente ""concesión de obra"" y el objeto es un ""nuevo aparcamiento"", lo que clasifica la prestación como obras.",45.978,
