id,bulletin,description,grupo_muestreo,is_relevant_gt,categories_gt,subcategories_gt,notas_anotador,is_relevant_pred,act_type_pred,categories_pred,subcategories_pred,confidence,reasoning,duration_s,error
0,boe,Anuncio de formalización de contratos de: Jefatura de la Sección Económico Administrativa 22 - Base Aérea de Torrejón (Agrupación de Base). Objeto: Concesión de servicios Cafetería ALA 12. Expediente: 2024/EA22/00001943E.,CONT_CON,True,"CONT_FOR, CONT_CON",tipo_servicios,Formalizacion de concesion de servicios cafeteria,True,anuncio,"[""CONT_FOR"", ""CONT_CON""]","[""tipo_servicios""]",0.98,"El texto es un ""Anuncio de formalización de contratos"" (disparador CONT_FOR) y su objeto es explícitamente una ""Concesión de servicios Cafetería"" (disparador CONT_CON). La subcategoría tipo_servicios se infiere del objeto ""Cafetería"".",133.115,
1,bocyl,"RESOLUCIÓN de 7 de enero de 2025, de la Dirección General de Transportes y Logística, por la que se hace pública la transmisión de la titularidad del contrato de concesión de servicio público de transporte regular y de uso general de viajeros por carretera, entre Castronuño y Toro (VACL-152), prestados por la empresa «Antonio Expósito Lucas» a favor de la empresa «Castaño e Hijos, S.L.».",CONT_CON,True,CONT_CON,tipo_servicios,Transmision de titularidad de contrato de concesion de transporte,True,resolución,"[""CONT_CON""]",[],0.95,"La publicación es una resolución sobre la ""transmisión de la titularidad del contrato de concesión de servicio público de transporte"", lo que cumple con los criterios para CONT_CON (contrato de concesión). No se identifica un tipo de prestación específico en el objeto del acto.",66.447,
2,bor,Exposición pública del estudio de viabilidad económico-financiera para la concesión de servicio de gestión de las piscinas municipales,CONT_CON,True,CONT_CON,tipo_servicios,Estudio de viabilidad previo a concesion de servicio piscinas,True,información_pública,"[""CONT_CON""]",[],0.95,"Es un acto de información pública relativo a una concesión de servicios (""concesión de servicio de gestión de las piscinas""), por lo que es CONT_CON (fase preparatoria). El objeto no permite inferir subcategoría (no se especifica si incluye obras, servicios o suministros).",65.514,
3,boe,Anuncio de licitación de: Jefatura de Asuntos Económicos de la Fuerza Terrestre. Objeto: Concesión de servicio del Bar-Cafetería para el Establecimiento Plaza España. Expediente: 2025/ETSAE0206/00000005E.,CONT_CON,True,"CONT_LIC, CONT_CON",tipo_servicios,Licitacion de concesion de servicio bar-cafeteria,True,anuncio,"[""CONT_LIC"", ""CONT_CON""]","[""tipo_servicios""]",0.98,"La publicación es un ""Anuncio de licitación"" (CONT_LIC) cuyo objeto explícito es una ""Concesión de servicio"" del Bar-Cafetería, lo que activa la categoría CONT_CON según las reglas de taxonomía para este tipo de contratos.",66.529,
4,borm,Información pública para la aprobación inicial del anteproyecto de construcción y explotación del contrato de concesión del servicio publico de abastecimiento de agua potable y saneamiento del municipio de Alcantarilla.,CONT_CON,True,CONT_CON,"tipo_obras, tipo_servicios",Anteproyecto de construccion y explotacion de concesion de agua,True,información_pública,"[""CONT_CON""]",[],0.98,"El texto describe ""Información pública para la aprobación inicial del anteproyecto de construcción y explotación del contrato de concesión"", lo que indica claramente un acto preparatorio (anteproyecto) de una concesión de servicios (abastecimiento de agua), no de dominio público. El fragmento clave es ""contrato de concesión del servicio publico de abastecimiento de agua potable"".",72.226,
5,boe,Anuncio de formalización de contratos de: Dirección del Instituto de Astrofísica de Canarias. Objeto: Contrato de concesión del servicio de explotación de la cafetería-comedor de la Sede Central del Instituto de Astrofísica de Canarias. Expediente: LIC-24-018.,CONT_CON,True,"CONT_FOR, CONT_CON",tipo_servicios,Formalizacion de concesion de servicio cafeteria-comedor,True,anuncio,"[""CONT_FOR"", ""CONT_CON""]","[""tipo_servicios""]",0.98,"El texto indica ""Anuncio de formalización de contratos"" (señal para CONT_FOR) y el objeto es explícitamente un ""Contrato de concesión del servicio de explotación"", lo que confirma la categoría CONT_CON. La prestación es la explotación de una cafetería-comedor, por tanto se trata de tipo_servicios.",68.745,
6,boe,"Anuncio de licitación de: Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P. Objeto: Concesión del servicio de cafetería-comedor destinado al Centro Nacional de Biotecnología de la Agencia Estatal Consejo Superior de Investigaciones Científicas. Expediente: CAF1/25.",CONT_CON,True,"CONT_LIC, CONT_CON",tipo_servicios,Licitacion de concesion de servicio cafeteria,True,anuncio,"[""CONT_LIC"", ""CONT_CON""]","[""tipo_servicios""]",0.98,"El texto es un ""anuncio de licitación"" (señal N2) del objeto ""Concesión del servicio de cafetería-comedor"", que combina la fase de licitación (CONT_LIC) con la modalidad de concesión (CONT_CON). El objeto específico (""cafetería-comedor"") se clasifica como prestación de servicios (tipo_servicios), correspondiente a catering y comedores.",73.242,
7,borm,Información pública para la aprobación inicial de la estructura de costes del contrato de concesión del servicio público de abastecimiento de agua potable y saneamiento del municipio de Alcantarilla.,CONT_CON,True,CONT_CON,tipo_servicios,Estructura de costes de concesion de servicio de agua,True,información_pública,"[""CONT_CON""]",[],0.95,"Se trata de un acto preparatorio de una concesión (estructura de costes del contrato de concesión), que según las reglas críticas debe etiquetarse solo como CONT_CON sin la fase CONT_LIC, y el objeto no es inferible por ser información pública de estudio, no adjudicación u obra. El fragmento clave es ""estructura de costes del contrato de concesión del servicio público"".",116.58,
8,docm,"Resolución de 25/02/2025, de la Secretaría General, por la que se dispone la publicación del convenio de colaboración entre la Consejería de Fomento de la comunidad autónoma de Castilla-La Mancha y el Ayuntamiento de Olías del Rey para la implantación del transporte público regular de viajeros en autobús según contrato de concesión del servicio público de transporte regular de viajeros de uso general por carretera en determinadas zonas rurales de la provincia de Toledo: VCM-631 Olías del Rey-Toledo.",CONT_CON,False,,,Convenio interadministrativo sobre servicio en concesion existente: no es acto contractual,True,resolución,"[""CONT_CON""]","[""tipo_servicios""]",0.95,"La publicación describe un ""convenio de colaboración"" que formaliza un ""contrato de concesión del servicio público de transporte regular de viajeros"", lo que cumple con la definición de CONT_CON para actos de concesión de servicios en el dominio de contratación pública. El objeto es claramente una prestación de servicio (transporte).",58.443,
9,bopa,Edicto. Trámite de audiencia a la iniciativa privada para presentar estudios de viabilidad a la concesión de obra de un nuevo aparcamiento bajo la Plaza de la Escandalera de Oviedo. Expte. 1100-0001-2024/14. [Cód. 2025-01895],CONT_CON,True,CONT_CON,tipo_obras,Tramite de audiencia estudios viabilidad concesion de obra aparcamiento,True,edicto,"[""CONT_CON""]",[],0.95,"Es un ""Edicto"" que corresponde al ""Trámite de audiencia a la iniciativa privada para presentar estudios de viabilidad"", lo cual según las reglas es un acto PREPARATORIO de una concesión de obra pública, y por tanto se clasifica solo con CONT_CON sin incluir la etiqueta de licitación o formalización. La señal clave es el objeto explícito: ""concesión de obra"".",60.677,
