id,bulletin,description,grupo_muestreo,act_type_n1,is_relevant_gt,procedures_gt,technologies_gt,is_relevant_pred,act_type_pred,procedures_pred,technologies_pred,confidence,reasoning,duration_s
0,bocyl,"RESOLUCIÓN de 3 de febrero de 2025, del Servicio Territorial de Industria, Comercio y Economía de Valladolid, dictada por delegación, por la que se concede la autorización administrativa previa y autorización administrativa de construcción de una instalación de distribución eléctrica, en el término municipal de Villalón de Campos (Valladolid). Expte.: AT-51585 (ATLI-51585).",AAC,resolución,True,"AAP,AAC",línea_eléctrica,True,resolución,"[""AAP"", ""AAC""]","[""línea_eléctrica""]",0.98,"El texto menciona explícitamente ""concede la autorización administrativa previa"" (AAP) y ""autorización administrativa de construcción"" (AAC). El proyecto es una ""instalación de distribución eléctrica"", lo que corresponde a la tecnología ""línea_eléctrica"".",49.448
1,boe,"Resolución de 24 de febrero de 2025, de la Dirección General de Política Energética y Minas, por la que se otorga a Red Eléctrica de España, SAU, autorización administrativa previa y autorización administrativa de construcción de la línea aérea de transporte de energía eléctrica a 400 kV, doble circuito, de entrada y salida en la subestación Torrejón de Velasco, de la línea eléctrica a 400 kV Morata-Villaviciosa, en Torrejón de Velasco (Madrid), y se declara, en concreto, la utilidad pública.",AAC,resolución,True,"AAP,AAC,DUP",línea_eléctrica,True,resolución,"[""AAP"", ""AAC"", ""DUP""]","[""línea_eléctrica""]",0.99,"""otorga autorización administrativa previa"" (AAP), ""autorización administrativa de construcción"" (AAC) y ""se declara, en concreto, la utilidad pública"" (DUP). Todas son explícitas. Proyecto de línea eléctrica → tecnología línea_eléctrica.",72.451
2,bon,"Información pública de la solicitud de autorización administrativa previa, autorización administrativa de construcción y declaración de impacto ambiental de la ""planta fotovoltaica de autoconsumo hibridado con la planta de cogeneración de Viscofán de 45,045 MW de potencia instalada"" y su infraestructura de evacuación",AAC,información_pública,True,"AAP,AAC,DIA","fotovoltaica,hibridación",True,información_pública,"[""AAP"", ""AAC"", ""DIA""]","[""fotovoltaica"", ""hibridación""]",0.98,"""información pública de la solicitud de autorización administrativa previa"" → AAP. ""autorización administrativa de construcción"" → AAC. ""declaración de impacto ambiental"" → DIA. El proyecto es una ""planta fotovoltaica de autoconsumo hibridado"" → fotovoltaica e hibridación.",130.793
3,docm,"Resolución de 22/10/2024, de la Delegación Provincial de Desarrollo Sostenible de Guadalajara, por la que se otorga a UFD Distribución Electricidad, SA, la autorización administrativa previa y autorización administrativa de construcción del proyecto con título: Proyecto para PS entronque en media tensión. Término municipal de Auñón (Guadalajara). Número de expediente 2023DIST023.",AAC,resolución,True,"AAP,AAC",línea_eléctrica,True,resolución,"[""AAP"", ""AAC""]","[""línea_eléctrica""]",0.98,"""autorización administrativa previa y autorización administrativa de construcción"" → [AAP, AAC]. ""PS entronque en media tensión"" es una infraestructura eléctrica → línea_eléctrica.",62.134
4,boa,"RESOLUCIÓN de 9 de abril de 2024, de la Directora General de Energía y Minas, por la que se otorga la autorización administrativa previa y autorización de construcción de la planta fotovoltaica ""Ancar II"" en el término municipal de Alfambra (Teruel).",AAC,resolución,True,"AAP,AAC",fotovoltaica,True,resolución,"[""AAP"", ""AAC""]","[""fotovoltaica""]",0.98,"""por la que se otorga la autorización administrativa previa y autorización de construcción"" activa AAP y AAC (regla 3). ""planta fotovoltaica"" activa tecnología fotovoltaica.",59.181
5,docm,"Resolución de 12/03/2025, de la Delegación Provincial de Desarrollo Sostenible de Toledo, de autorización administrativa previa y autorización administrativa de construcción de instalación eléctrica de alta tensión con número de expediente: E-45211122377 corresponde I.",AAC,resolución,True,"AAP,AAC",línea_eléctrica,True,resolución,"[""AAP"", ""AAC""]","[""línea_eléctrica""]",0.98,"La descripción menciona explícitamente ""autorización administrativa previa"" (AAP) y ""autorización administrativa de construcción"" (AAC). El proyecto se refiere a una ""instalación eléctrica de alta tensión"", lo que justifica la tecnología ""línea_eléctrica"".",53.268
6,bocyl,"INFORMACIÓN pública relativa a la solicitud de autorización administrativa previa y autorización administrativa de construcción de una instalación solar fotovoltaica y su instalación de evacuación, en el término municipal de San Marcial-El Perdigón (Zamora). Expte.: 9158 PSFV El Cerrojo - ITX.",AAC,información_pública,True,"AAP,AAC",fotovoltaica,True,información_pública,"[""AAP"", ""AAC""]","[""fotovoltaica""]",0.95,"El texto es un ""INFORMACIÓN pública"" (Anuncio) sobre una solicitud explícita de ""autorización administrativa previa y autorización administrativa de construcción"", lo que activa las etiquetas AAP y AAC según la regla 3 y el ejemplo 3. El término ""instalación solar fotovoltaica"" identifica la tecnología ""fotovoltaica"".",56.806
7,bon,"RESOLUCIÓN 167/2024, de 10 de diciembre, de la directora general de Energía, I+D+i empresarial y Emprendimiento, por la que se deniega la autorización administrativa previa, y la autorización administrativa de construcción y declaración, en concreto, de utilidad pública para la instalación de producción de energía eléctrica denominada planta solar fotovoltaica ""Tafalla Polux"", en término municipal de Tafalla.",AAC,resolución,True,"AAP,AAC,DUP",fotovoltaica,True,resolución,"[""AAP"", ""AAC"", ""DUP""]","[""fotovoltaica""]",0.98,"La resolución deniega explícitamente la ""autorización administrativa previa"" (AAP), la ""autorización administrativa de construcción"" (AAC) y la ""declaración, en concreto, de utilidad pública"" (DUP). Además, se menciona claramente una ""planta solar fotovoltaica"", identificando la tecnología.",61.698
8,boe,"Anuncio de los Servicios Territoriales en Tarragona del Departamento de Territorio, Vivienda y Transición Ecológica de la Generalitat de Cataluña por el que se somete a información pública la solicitud de modificación de la autorización administrativa previa, la autorización administrativa de construcción y la declaración de utilidad pública del Proyecto de la línea eléctrica de evacuación de la planta solar fotovoltaica llamada PS AENA Aeroport Reus de 12,5 MW sobre terreno en suelo no urbanizable, en el término municipal de Reus, en la comarca del Baix Camp. (Expte.FUE-2020-02168847, RAC-02530, RIPRE-02530).",AAC,anuncio,True,"AAP,AAC,DUP","fotovoltaica,línea_eléctrica",True,anuncio,"[""AAP"", ""AAC"", ""DUP""]","[""fotovoltaica"", ""línea_eléctrica""]",0.98,"El texto es un anuncio de información pública sobre una solicitud que menciona explícitamente ""modificación de la autorización administrativa previa"" (AAP), ""autorización administrativa de construcción"" (AAC) y ""declaración de utilidad pública"" (DUP). La referencia a ""línea eléctrica de evacuación de la planta solar fotovoltaica"" identifica las tecnologías. Según las reglas, los anuncios sobre solicitudes heredan la relevancia de los procedimientos mencionados.",79.63
9,boe,"Resolución de 27 de enero de 2025, de la Dirección General de Política Energética y Minas, por la que se otorga a Hornija Eólica, SLU, autorización administrativa previa y autorización administrativa de construcción, para la instalación solar fotovoltaica San Lorenzo D, de 34,377 MW de potencia instalada, para su hibridación con el parque eólico existente San Lorenzo D, de 33,75 MW, y sus infraestructuras de evacuación, en Castromonte, Torrelobatón y Peñaflor de Hornija (Valladolid), y se declara, en concreto, la utilidad pública.",AAC,resolución,True,"AAP,AAC,DUP","fotovoltaica,hibridación",True,resolución,"[""AAP"", ""AAC"", ""DUP""]","[""fotovoltaica"", ""eólica"", ""hibridación""]",1.0,"La resolución otorga explícitamente ""autorización administrativa previa"" (AAP) y ""autorización administrativa de construcción"" (AAC), además de declarar ""utilidad pública"" en concreto (DUP). Las tecnologías se identifican por los nombres de los parques: ""instalación solar fotovoltaica"" (fotovoltaica), ""parque eólico existente"" (eólica), y ""hibridación con el parque eólico"".",74.116
10,docm,"Anuncio de 15/01/2025, de la Dirección General de Calidad Ambiental, por el que se inicia el periodo de información pública de la solicitud de autorización ambiental integrada y del estudio de impacto ambiental del proyecto titulado: Planta de producción de hidrógeno verde de 200 MW, Proyecto Hydric a realizar en el término municipal de Puertollano (Ciudad Real), titularidad de la empresa Hydric Power, SL (expediente AAI-CR-101 y PRO-SC-24-1172).",AAI,anuncio,True,AAI,hidrógeno,True,anuncio,"[""AAI""]","[""hidrógeno""]",0.95,"El texto menciona explícitamente ""autorización ambiental integrada"" (AAI) en relación con una planta de producción de hidrógeno verde, lo que activa la etiqueta AAI y la tecnología hidrógeno. La referencia a ""estudio de impacto ambiental"" se incluye dentro del expediente AAI sin activar por separado el procedimiento DIA, ya que es parte integral de la evaluación requerida para esta autorización integrada.",67.178
11,docm,"Resolución de 11/12/2024, de la Dirección General de Calidad Ambiental, por la que se consideran no sustanciales a efectos de lo previsto en el texto refundido de la Ley de Prevención y Control Integrados de la Contaminación, aprobado por Real Decreto Legislativo 1/2016, de 16 de diciembre, las modificaciones propuestas por la empresa Holcim España, SA, en la instalación de fabricación de producción de cemento, en el término municipal de Villaluenga de la Sagra (Toledo) y se modifica la Resolución de 13/02/2019, por la que se revisa la autorización ambiental integrada otorgada para dicha instalación (expediente: AAI-TO-031).",AAI,resolución,True,AAI,,True,resolución,"[""AAI""]",[],0.98,"El texto menciona ""se modifica la Resolución... por la que se revisa la autorización ambiental integrada"", lo cual indica una modificación de un AAI existente. El proyecto es de fabricación de cemento, por lo que technologies=[] ya que no corresponde a las tecnologías energéticas listadas en el taxón.",54.337
12,dog,"ANUNCIO de 19 de marzo de 2025, de la Dirección General de Calidad Ambiental y Sostenibilidad, por el que se da publicidad a la resolución por la que se deniega la solicitud de autorización ambiental integrada a Bioenergía Lugo, S.L.U. para una planta de gestión de residuos orgánicos y producción de biometano para su inyección en red, situada en el ayuntamiento de Lugo (expediente 2024-IPPC-I-25).",AAI,anuncio,True,AAI,biogás_biometano,True,anuncio,"[""AAI""]","[""biogás_biometano""]",0.98,"El anuncio da publicidad a una resolución de denegación de ""autorización ambiental integrada"", activando el procedimiento AAI (variente que incluye todas sus modalidades administrativas). El texto menciona explícitamente ""producción de biometano para su inyección en red"", asociando la tecnología biogás_biometano.",56.075
13,boca,"Dirección General de Transición Ecológica y Lucha contra el Cambio Climático.- Resolución de 24 de enero de 2025, por la que se aprueba el Programa de Inspección Ambiental para el año 2025 de las instalaciones sujetas a autorización ambiental integrada en la Comunidad Autónoma de Canarias, según el texto refundido de la Ley de prevención y control integrados de la contaminación, aprobado por Real Decreto Legislativo 1/2016, de 16 de diciembre.",AAI,resolución,False,,,False,resolución,[],[],0.95,"La descripción menciona ""Programa de Inspección Ambiental"" sin identificar ningún procedimiento N2 específico (DIA, AAP, AAC, etc.) entre las opciones definidas. Es un acto administrativo relacionado con el control pero no enlaza directamente con una resolución específica sobre autorización o declaración ambiental de proyecto, que es lo que define la relevancia según los criterios dados.",55.231
14,bopa,"Anuncio por el que se hace pública la Resolución de la Consejería de Transición Ecológica, Industria y Comercio, de otorgamiento de la autorización ambiental integrada simplificada a la instalación de “fabricación de hormigones frescos” del titular Cementos Secil, S. L. U., ubicada en polígono industrial La Curiscada (Tineo). Expte. AAIS-042/24 (AUTO/2024/7375). [Cód. 2025-02278]",AAI,anuncio,True,AAI,,True,resolución,"[""AAI""]",[],0.98,"El texto menciona explícitamente ""autorización ambiental integrada simplificada"", lo que activa la etiqueta AAI según las reglas de variantes administrativas. Aunque el proyecto es una fábrica de hormigones (no energético), la presencia del procedimiento ambiental determina is_relevant=True. No hay mención a tecnologías específicas como fotovoltaica o eólica, por lo que technologies=[].",56.053
15,bon,"RESOLUCIÓN 533E/2024, de 5 de diciembre, del director del Servicio de Economía Circular e Innovación, por la que se acepta parcialmente el cambio solicitado de las condiciones de funcionamiento establecidas en la autorización ambiental integrada de la instalación de deshidratación de alfalfa, cuyo titular es Navarro Aragonesa de Forrajes SA, ubicada en término municipal de Peralta / Azkoien, de forma que la instalación y el desarrollo de la actividad deberán cumplir las condiciones establecidas en el anejo de la presente resolución.",AAI,resolución,True,AAI,,True,resolución,"[""AAI""]",[],0.95,"El texto menciona explícitamente ""autorización ambiental integrada"" en relación con una instalación de deshidratación de alfalfa, lo que activa el procedimiento AAI según la regla 14 sobre variantes administrativas. La descripción indica una modificación parcial de las condiciones, heredando el tipo del acto original. No se mencionan tecnologías energéticas específicas como biomasa o fotovoltaica, por lo que technologies=[] es correcto dado que la instalación es de forrajes (alimentación animal) y no de generación energética.",63.116
16,doe,"Anuncio de 13 de enero de 2025 por el que se somete a información pública la petición de autorización administrativa previa de las instalaciones correspondientes al proyecto denominado CT Cárdeno nuevo de 630 kVA, en Fuentes de León. Expte.: 06/AT-18456/01732.",AAP,anuncio,True,AAP,línea_eléctrica,True,anuncio,"[""AAP""]",[],0.95,"Es un anuncio de información pública sobre solicitud de ""autorización administrativa previa"" (AAP). No se menciona tecnología específica en el proyecto, por lo que technologies=[] y la confianza es alta al ser una descripción explícita del procedimiento.",47.722
17,bor,"Anuncio de Información Pública de la solicitud de autorización administrativa previa y de construcción de instalación eléctrica, y de su declaración de utilidad pública. AT/1970904",AAP,anuncio,True,"AAP,AAC,DUP",línea_eléctrica,True,anuncio,"[""AAP"", ""AAC"", ""DUP""]","[""línea_eléctrica""]",0.98,"El texto menciona explícitamente ""solicitud de autorización administrativa previa y de construcción"" (activando AAP y AAC) y ""declaración de utilidad pública"" (activando DUP). El fragmento ""instalación eléctrica"" confirma la tecnología línea_eléctrica. Cumple con la regla 3 y 9 de los ejemplos.",55.919
