id,bulletin,description,grupo_muestreo,is_relevant_gt,categories_gt,subcategories_gt,notas_anotador,is_relevant_pred,act_type_pred,categories_pred,subcategories_pred,confidence,reasoning,duration_s
0,boja,"Resolución de 16 de enero de 2025, de la Delegación Territorial de Fomento, Articulación del Territorio y Vivienda en Málaga, por la que se dispone la publicación de la Resolución de 11 de diciembre de 2024, que ordena proceder al registro y publicación de la «Modificación del Plan General de Ordenación Urbana (PGOU) de Mijas».",PGOU,True,MOD_PUN,fase_definitiva,Publicacion registro Modificacion PGOU Mijas,True,resolución,"[""MOD_PUN""]",[],0.98,"La publicación es una ""Modificación del Plan General de Ordenación Urbana (PGOU)"" de Mijas. El texto indica claramente una modificación puntual (""Modificación""), y no una aprobación o revisión integral del plan completo, por lo que la categoría correspondiente es MOD_PUN. No hay indicios en el fragmento proporcionado sobre la fase específica ni sobre los usos del suelo concretos modificados.",121.85
1,bocm,"Plan general de urbanismo
– Acuerdo de 12 de marzo de 2025, del Consejo de Gobierno, por el que se aprueba definitivamente la Decimoctava Modificación Puntual del Plan General de Ordenación Urbana de Getafe, en el ámbito ZOI 04, “Los Olivos”",PGOU,True,MOD_PUN,fase_definitiva,Decimoctava Modificacion Puntual PGOU Getafe,True,acuerdo,"[""MOD_PUN""]","[""fase_definitiva""]",0.98,"El texto menciona explícitamente ""Decimoctava Modificación Puntual del Plan General de Ordenación Urbana"", lo que activa la categoría MOD_PUN según la regla 1. Se trata de un acuerdo de aprobación definitiva, por lo tanto fase_definitiva.",52.278
2,docm,"Anuncio de 28/01/2025, del Ayuntamiento de Villar de Olalla (Cuenca), sobre exposición pública del Plan Especial de Reforma Interior de Mejora (Perim) en el entorno de la senda de las Pernalosas-sectores U.2A y U.2B de las Normas Subsidiarias de Villar de Olalla (Cuenca).",PGOU,True,PLAN_ESP,fase_ip,PERIM exposicion publica - Plan Especial Reforma Interior Mejora,True,anuncio,"[""PGOU""]","[""fase_ip"", ""uso_equipamiento"", ""uso_rustico""]",0.85,"""exposición pública del Plan Especial de Reforma Interior de Mejora (Perim)"" indica fase_ip y, dado que es un PERIM, se clasifica como PGOU. El contexto del ""entorno de la senda"" sugiere un uso equipamiento y potencialmente rústico. Es relevante porque menciona explícitamente el plan especial que modifica normas urbanísticas generales.",59.08
3,docm,"Anuncio de 27/12/2024, del Ayuntamiento de Albacete, de la Gerencia Municipal de Urbanismo y Vivienda, sobre información pública del contenido de la plica presentada por la mercantil, Albaluz German Capital SL, a su propia alternativa técnica de Programa de Actuación Urbanizadora presentada para el desarrollo de las determinaciones urbanísticas de la Ordenanza de Transformación 10.11 carretera Madrid I del Plan General de Ordenación Urbana de Albacete.",PGOU,True,PROY_URB,fase_ip,PAU en CLM = PROY_URB,True,anuncio,"[""PGOU""]","[""fase_ip""]",0.95,"La publicación menciona el ""Plan General de Ordenación Urbana de Albacete"", lo que indica un acto relacionado con la normativa urbanística general del PGOU (o su determinación técnica). Se solicita ""información pública"" sobre una plica presentada, lo cual sitúa el acto en la fase de información pública.",55.793
4,boca,"Viceconsejería de Planificación Territorial y Reto Demográfico.- Anuncio por el que se hace pública la Resolución de 14 de febrero de 2025, que da publicidad al Acuerdo de la Comisión Autonómica de Evaluación Ambiental de 12 de febrero de 2025, para la emisión del Informe Ambiental Estratégico en el Procedimiento de Evaluación Ambiental Estratégica Simplificada de la Modificación Menor del Plan General de Ordenación de Güímar - Unidad de Actuación 16.2 El Tablado.- Expte. 2022/0014990 (5940).",PGOU,True,MOD_PUN,fase_ip,IAE Modificacion Menor PGO Guimar Canarias,True,anuncio,"[""MOD_PUN""]","[""fase_inicial""]",0.9,"El texto menciona ""Modificación Menor del Plan General de Ordenación"" y ""Informes Ambientales"", lo que indica un acto administrativo de modificación puntual en fase inicial de información pública. La frase ""emisión del Informe Ambiental Estratégico en el Procedimiento de Evaluación Ambiental Estratégica Simplificada"" es una referencia al proceso ambiental, no a la aprobación del PGOU completo.",59.189
5,doe,"Anuncio de 20 de febrero de 2025 sobre aprobación inicial del Programa de Ejecución de la UE3, de la zona 3 de las Normas Subsidiarias.",PGOU,True,PROY_URB,fase_inicial,Proyecto Ejecucion UE3 NNSS = PROY_URB,False,anuncio,[],[],1.0,"Texto: ""Programa de Ejecución de la UE3"" es un instrumento energético (Energía Sostenible y Planificación Estratégica), no urbanístico. Aunque cita Normas Subsidiarias, el programa pertenece al ámbito energético/energías renovables sin tramitación urbanística directa. -> is_relevant=False.",51.929
6,dogc,"Anuncio sobre aprobación inicial de la modificación puntual del Plan general de ordenación municipal de Lliçà de Vall referente al ámbito de la UA del polígono industrial de Can Coll, Tèxtil Torres",PGOU,True,MOD_PUN,"fase_inicial,uso_industrial",Mod puntual PGO municipal poligono industrial Can Coll,True,anuncio,"[""MOD_PUN""]","[""fase_inicial"", ""uso_industrial""]",0.95,"El texto menciona explícitamente ""modificación puntual del Plan general de ordenación municipal"" y ""ámbito de la UA del polígono industrial"", lo que activa las categorías MOD_PUN, fase_inicial (por ""aprobación inicial"") y uso_industrial. Según la regla 1, el PGOU es solo el marco de referencia y no el objeto del acto.",58.355
7,dogv,"EDICTO de aprobación del informe ambiental y territorial estratégico, por el procedimiento simplificado, de la modificación puntual de la ordenación detallada del Plan general de ordenación urbana de la redistribución del suelo dotacional en la UE-1 insertada en suelo urbano.",PGOU,True,MOD_PUN,"fase_ip,uso_equipamiento",IAE mod puntual PGOU redistribucion suelo dotacional,True,edicto,"[""MOD_PUN""]","[""fase_inicial""]",0.85,"Texto dice explícitamente ""modificación puntual"" del PGOU, por lo que se clasifica como MOD_PUN (regla 1), no como PGOU. El ámbito es DOGV (Valencia). Fragmento: ""modificación puntual de la ordenación detallada del Plan general"". Subcategoría fase_inicial por ser edicto/informe en procedimiento simplificado (fase IP/Inicial).",58.809
8,boc,"Informe Ambiental Estratégico de la Modificación Puntual número 1, del Plan General de Ordenación Urbana, de San Miguel de Aguayo. Protección de los valores naturales y paisajísticos y adaptación a la LOTUCA.",PGOU,True,MOD_PUN,fase_ip,IAE Modificacion Puntual 1 PGOU San Miguel de Aguayo,True,información_pública,"[""MOD_PUN""]","[""fase_ip"", ""uso_rustico"", ""uso_energetico""]",0.95,"El texto menciona explícitamente ""Modificación Puntual número 1, del Plan General de Ordenación Urbana"", lo que activa la categoría MOD_PUN según las reglas críticas que excluyen PGOU en estos casos. Además, al ser un Informe Ambiental Estratégico para una modificación puntual, se asume información pública (fase_ip). Aunque el texto no especifica el uso, una Modificación Puntual de 1ª suele estar relacionada con usos energéticos como eólicos o fotovoltaicos, por lo que se añade ""uso_energetico"" y ""uso_rustico"" como subcategorías plausibles.",72.57
9,boca,"ANUNCIO de 6 de noviembre de 2024, por el que se somete a información pública la aprobación inicial de la “Modificación Menor del Plan General de Ordenación, modificación de la Ficha del SG-SP 1.13.045 Aparcamiento del Campo de Fútbol Los Pozos”.",PGOU,True,MOD_PUN,"fase_inicial,uso_equipamiento",IP aprobacion inicial Mod Menor PGO aparcamiento campo futbol,True,anuncio,"[""MOD_PUN""]","[""fase_inicial""]",0.95,"El texto menciona ""aprobación inicial de la 'Modificación Menor del Plan General'"", lo que indica una MOD_PUN (modificación puntual) en fase_inicial, no un PGOU completo como sería si se aprobara el plan general COMPLETO.",51.77
