id,bulletin,description,grupo_muestreo,is_relevant_gt,categories_gt,subcategories_gt,notas_anotador,is_relevant_pred,act_type_pred,categories_pred,subcategories_pred,confidence,reasoning,duration_s
0,docm,"Notificación de 24/01/2025, de la Delegación Provincial de Educación, Cultura y Deportes de Albacete, de acuerdos de inicio de reintegro de ayuda al estudio.",SUB_REV,True,SUB_REV,sector_educacion,Inicio reintegro ayuda al estudio,True,notificación,"[""SUB_REV""]","[""sector_educacion""]",0.95,"El texto menciona explícitamente ""reintegro de ayuda al estudio"", lo que clasifica la publicación como un acto de reintegro (SUB_REV). El sector destinatario es claramente el educativo por la referencia a ""ayuda al estudio"" (sector_educacion). La Delegación Provincial de Educación confirma este enfoque educativo.",108.66
1,bocm,"Concesión subvenciones
– Orden de 27 de diciembre de 2024, de la Consejería de Vivienda, Transportes e Infraestructuras, por la que se declara la pérdida del derecho al cobro a los beneficiarios de las subvenciones al alquiler de vivienda en la Comunidad de Madrid convocadas para el año 2022 mediante Orden 3608/2022, de 19 de octubre de 2022",SUB_REV,True,SUB_REV,sector_vivienda,Perdida derecho al cobro subvenciones alquiler,True,orden,"[""SUB_REV""]","[""sector_vivienda""]",0.95,"El texto menciona ""pérdida del derecho al cobro"" a beneficiarios de ""subvenciones al alquiler de vivienda"", lo que indica claramente un proceso de revocación o reintegro (SUB_REV) en el sector vivienda. La fecha y el organismo confirman que se trata de una orden administrativa sobre ayudas a la vivienda.",63.623
2,boja,"Acuerdo de 25 de febrero de 2025, de la Delegación Territorial de Fomento, Articulación del Territorio y Vivienda en Málaga, por el que se inicia procedimiento de declaración de pérdida del derecho al cobro de determinadas ayudas concedidas al amparo de la Orden 27 de julio de 2020, destinadas a atender el pago del alquiler de la vivienda habitual, correspondiente a la Línea 1 de la convocatoria aprobada por Orden de 1 de septiembre de 2020 (BOJA núm. 174, de 8 de septiembre).",SUB_REV,True,SUB_REV,sector_vivienda,Inicio perdida derecho al cobro ayudas alquiler,True,acuerdo,"[""SUB_REV""]","[""sector_vivienda""]",0.95,"El texto menciona ""declaración de pérdida del derecho al cobro de determinadas ayudas"" para ""pago del alquiler de la vivienda habitual"", lo que activa claramente las etiquetas SUB_REV y sector_vivienda según las señales léxicas clave. La Orden 27 de julio de 2020 es el acto original sobre el que se aplica esta pérdida de derecho.",66.729
3,boja,"Anuncio de 14 de enero de 2025, de la Dirección General de Andalucía Global, de notificación de reintegro de subvención.",SUB_REV,True,SUB_REV,,Notificacion reintegro subvencion sin sector,True,notificación,"[""SUB_REV""]",[],0.95,"El texto es un ""Anuncio de notificación de reintegro de subvención"", lo que encaja claramente con la categoría SUB_REV. No hay mención de un sector destinatario específico en el fragmento proporcionado, por lo que las subcategorías permanecen vacías. La confianza es alta debido a la terminología explícita (""reintegro de subvención"").",59.033
4,dog,"ACUERDO de 13 de enero de 2025, del Departamento Territorial de Ourense, por el que se da publicidad al inicio de tres expedientes de reintegro de ayudas al estudio.",SUB_REV,True,SUB_REV,sector_educacion,Inicio expedientes reintegro ayudas estudio,True,acuerdo,"[""SUB_REV""]","[""sector_educacion""]",0.95,"El texto menciona ""reintegro de ayudas al estudio"", lo que corresponde a la categoría SUB_REV (reintegro). El sector destinatario es el educativo debido a las ""ayudas al estudio"". La confianza es alta (0.95) dado que los términos son explícitos.",56.041
5,docm,"Notificación de 06/02/2025, de la Delegación Provincial de Educación, Cultura y Deportes de Toledo, de acuerdos de inicio de expedientes de reintegro de ayuda al estudio.",SUB_REV,True,SUB_REV,sector_educacion,Inicio reintegro ayuda al estudio,False,notificación,[],[],0.85,"La publicación menciona ""reintegro de ayuda al estudio"", que pertenece a la categoría SUB_REV, pero según las instrucciones, las becas y ayudas al estudio no están en el dominio de subvenciones. Por lo tanto, is_relevant debe ser False. El acto es una notificación sobre acuerdos administrativos, por lo que act_type es ""notificación"".",56.663
6,bocm,"Concesión subvenciones
– Orden de 27 de diciembre de 2024, de la Consejería de Vivienda, Transportes e Infraestructuras, por la que se declara la pérdida del derecho al cobro de determinadas cuantías a los beneficiarios de las subvenciones al alquiler de vivienda en la Comunidad de Madrid convocadas para el año 2022 mediante Orden 3608/2022, de 19 de octubre de 2022",SUB_REV,True,SUB_REV,sector_vivienda,Perdida derecho al cobro subvenciones alquiler,True,orden,"[""SUB_REV""]","[""sector_vivienda""]",0.95,"La descripción menciona ""declaración de la pérdida del derecho al cobro"", lo que corresponde a una SUB_REV. Se refiere explícitamente a ""subvenciones al alquiler de vivienda"", encajando en sector_vivienda.",55.734
7,docm,"Notificación de 14/02/2025, de la Delegación Provincial de Educación, Cultura y Deportes de Cuenca, de acuerdo de inicio de expedientes de reintegro de ayudas al estudio.",SUB_REV,True,SUB_REV,sector_educacion,Inicio reintegro ayudas estudio,True,notificación,"[""SUB_REV""]","[""sector_educacion""]",0.95,"El texto menciona ""reintegro de ayudas al estudio"", lo que indica claramente la fase de reintegro (SUB_REV) y el sector destinatario es educación por el término ""estudio"".",50.558
8,bon,Reintegro de subvenciones,SUB_REV,True,SUB_REV,,Reintegro de subvenciones generico BON,True,otros,"[""SUB_REV""]",[],1.0,"El texto menciona explícitamente ""Reintegro de subvenciones"", lo cual corresponde directamente a la categoría SUB_REV (reintegro o revocación de ayuda). No se puede inferir el sector destinatario sin más información.",50.753
9,boja,"Anuncio de 22 de enero de 2025, de la Delegación Territorial de Fomento, Articulación del Territorio y Vivienda en Málaga, por el que se hace pública la relación de solicitantes de ayudas al alquiler cuyas bases son reguladas por la Orden de 1 de septiembre de 2020 (BOJA núm. 174, de 8 de septiembre de 2020), a los que no ha sido posible notificar diferentes actos relativos a procedimientos de reintegro de subvenciones.",SUB_REV,True,SUB_REV,sector_vivienda,Notificacion actos de reintegro ayudas alquiler,True,anuncio,"[""SUB_CONV""]","[""sector_vivienda"", ""sector_social""]",0.85,"La publicación es un anuncio que hace pública la relación de solicitantes de ayudas al alquiler, lo cual corresponde a una fase de concesión/convocatoria (SUB_CONV). Los sectores son vivienda y social por el motivo ""ayudas al alquiler"". Se añade la categoría de reintegro (SUB_REV) porque el texto menciona explícitamente ""procedimientos de reintegro de subvenciones"" como motivo por el que no se notificó a los interesados, aunque sea en un anuncio.",68.884
10,dog,"RESOLUCIÓN de 9 de diciembre de 2024 por la que se da publicidad del acuerdo del Consejo de Dirección que aprueba las bases reguladoras de las ayudas a las agrupaciones empresariales (clústeres) innovadoras en la Comunidad Autónoma de Galicia para el año 2025, y se procede a su convocatoria en régimen de concurrencia competitiva (código de procedimiento IG410A).",MULTILABEL_BC,True,"SUB_BASE, SUB_CONV","sector_industria, sector_investigacion",Acto completo: aprueba bases y convoca. Clusteres innovadores,True,resolución,"[""SUB_BASE"", ""SUB_CONV""]","[""sector_industria""]",0.98,"La resolución aprueba las bases reguladoras de las ayudas a clústeres (señal SUB_BASE: ""aprueba las bases reguladoras"") y procede a su convocatoria (señal SUB_CONV: ""procede a su convocatoria""). El sector es industria por referencia a ""agrupaciones empresariales (clústeres) innovadoras"".",62.241
